# Lines starting with ”#” will be treated as comments.;;;;;;;;;;;;;;;;;;;;;;
# This file can be reloaded with the ”reload stats” console command;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;missile weapons only;;;;;;
#;;;;;;;%of dmg that will;;%of dmg that will;;100;50;;;;minimum speed;;;;;;
#;;;;;%bonus dmg;%bonus dmg;go through shields;%bonus dmg;go through armor;;;;;;;of missiles;;;;;;
key;cost;power;min_damage;max_damage;hull_damage;shield_damage;shield_penetration;armor_damage;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;tracking;missile_speed;missile_evasion;missile_shield;missile_armor;missile_health;missile_retarget_range;end
TORPEDO_B_GRAVIMETRIC_TORPEDO_2;50;-8;45;136;1;0.25;0;1.25;0;15;25;120;40;0.8;0.2;300;0;0;0;0;90;
TORPEDO_C_GRAVIMETRIC_TORPEDO_2;100;-23;90;270;1;0.25;0;1.25;0;15;25;120;50;0.8;0.2;300;0;0;0;0;90;
TORPEDO_D_GRAVIMETRIC_TORPEDO_2;180;-53;180;550;1;0.25;0;1.25;0;15;25;120;50;0.8;0.2;300;0;0;0;0;90;
TORPEDO_E_GRAVIMETRIC_TORPEDO_2;350;-132;480;1440;1;0.25;0;1.25;0;20;30;160;60;0.8;0.2;275;0;0;0;0;80;
TORPEDO_A_GRAVIMETRIC_TORPEDO_3;40;-5;18;53;1;0.25;0;1.5;0;10;20;80;30;0.8;0.2;325;0;0;0;0;100;
TORPEDO_B_GRAVIMETRIC_TORPEDO_3;80;-14;53;158;1;0.25;0;1.5;0;15;25;120;40;0.8;0.2;300;0;0;0;0;90;
TORPEDO_C_GRAVIMETRIC_TORPEDO_3;150;-36;110;310;1;0.25;0;1.5;0;15;25;120;50;0.8;0.2;300;0;0;0;0;90;
TORPEDO_D_GRAVIMETRIC_TORPEDO_3;280;-84;210;630;1;0.25;0;1.5;0;15;25;120;50;0.8;0.2;300;0;0;0;0;90;
TORPEDO_E_GRAVIMETRIC_TORPEDO_3;550;-208;560;1670;1;0.25;0;1.5;0;20;30;160;60;0.8;0.2;275;0;0;0;0;80;
TORPEDO_A_GRAVIMETRIC_TORPEDO_4;60;-8;19;57;1;0.25;0;2;0;10;20;80;30;0.8;0.2;325;0;0;0;0;100;
TORPEDO_B_GRAVIMETRIC_TORPEDO_4;110;-20;56;169;1;0.25;0;2;0;15;25;120;40;0.8;0.2;300;0;0;0;0;90;
TORPEDO_C_GRAVIMETRIC_TORPEDO_4;220;-53;110;340;1;0.25;0;2;0;15;25;120;50;0.8;0.2;300;0;0;0;0;90;
TORPEDO_D_GRAVIMETRIC_TORPEDO_4;410;-123;230;670;1;0.25;0;2;0;15;25;120;50;0.8;0.2;300;0;0;0;0;90;
TORPEDO_E_GRAVIMETRIC_TORPEDO_4;800;-300;600;1780;1;0.25;0;2;0;20;30;160;60;0.8;0.2;275;0;0;0;0;80;
TORPEDO_A_TRANSPHASIC_TORPEDO_1;80;-10;19;57;1.25;0.25;0.75;1;0.75;10;20;80;20;0.8;0.2;325;0;0;0;0;100;
TORPEDO_B_TRANSPHASIC_TORPEDO_1;150;-27;38;113;1.25;0.25;0.75;1;0.75;10;20;80;30;0.8;0.2;325;0;0;0;0;100;
TORPEDO_C_TRANSPHASIC_TORPEDO_1;280;-68;80;220;1.25;0.25;0.75;1;0.75;10;20;80;40;0.8;0.2;325;0;0;0;0;100;
TORPEDO_D_TRANSPHASIC_TORPEDO_1;520;-158;150;460;1.25;0.25;0.75;1;0.75;10;20;80;40;0.8;0.2;325;0;0;0;0;100;
TORPEDO_E_TRANSPHASIC_TORPEDO_1;1010;-380;300;910;1.25;0.25;0.75;1;0.75;10;20;80;50;0.8;0.2;325;0;0;0;0;100;
TORPEDO_A_FUSION_TORPEDO_1;10;0;5;16;1.25;0.25;0;1;0;25;35;40;30;0.8;0.2;250;0.25;0;0;10;10;
TORPEDO_B_FUSION_TORPEDO_1;10;-1;10;32;1.25;0.25;0;1;0;25;35;40;40;0.8;0.2;250;0.25;0;0;10;10;
TORPEDO_C_FUSION_TORPEDO_1;20;-3;21;62;1.25;0.25;0;1;0;25;35;40;50;0.8;0.2;250;0.25;0;0;10;10;
TORPEDO_D_FUSION_TORPEDO_1;30;-6;40;130;1.25;0.25;0;1;0;25;35;40;50;0.8;0.2;250;0.25;0;0;10;10;
TORPEDO_E_FUSION_TORPEDO_1;50;-16;80;250;1.25;0.25;0;1;0;25;35;40;60;0.8;0.2;250;0.25;0;0;10;10;
TORPEDO_A_FUSION_TORPEDO_2;10;-1;5;14;1.25;0.25;0;1;0;20;30;30;30;0.8;0.2;275;0.25;0;0;20;10;
TORPEDO_B_FUSION_TORPEDO_2;10;-2;10;29;1.25;0.25;0;1;0;20;30;30;40;0.8;0.2;275;0.25;0;0;20;10;
TORPEDO_C_FUSION_TORPEDO_2;30;-5;19;58;1.25;0.25;0;1;0;20;30;30;50;0.8;0.2;275;0.25;0;0;20;10;
TORPEDO_A_FUSION_TORPEDO_3;10;-1;4;12;1.25;0.25;0;1;0;15;25;20;30;0.8;0.2;300;0.25;0;0;30;10;
TORPEDO_B_FUSION_TORPEDO_3;20;-3;8;24;1.25;0.25;0;1;0;15;25;20;40;0.8;0.2;300;0.25;0;0;30;10;
TORPEDO_C_FUSION_TORPEDO_3;40;-8;16;48;1.25;0.25;0;1;0;15;25;20;50;0.8;0.2;300;0.25;0;0;30;10;
TORPEDO_A_FUSION_TORPEDO_4;10;-1;5;13;1.25;0.25;0;1;0;15;25;20;30;0.8;0.2;300;0.25;0;0;40;10;
TORPEDO_B_FUSION_TORPEDO_4;20;-4;9;27;1.25;0.25;0;1;0;15;25;20;40;0.8;0.2;300;0.25;0;0;40;10;
TORPEDO_C_FUSION_TORPEDO_4;50;-11;18;55;1.25;0.25;0;1;0;15;25;20;50;0.8;0.2;300;0.25;0;0;40;10;
TORPEDO_A_FUSION_TORPEDO_5;20;-3;7;23;1.75;0.25;0;1;0;5;15;40;15;0.75;0.1;375;0;0;0;0;120;
TORPEDO_B_FUSION_TORPEDO_5;40;-7;15;45;1.75;0.25;0;1;0;5;15;40;20;0.75;0.1;375;0;0;0;0;120;
TORPEDO_C_FUSION_TORPEDO_5;80;-19;30;90;1.75;0.25;0;1;0;5;15;40;30;0.75;0.1;375;0;0;0;0;120;
TORPEDO_A_FUSION_TORPEDO_6;30;-3;8;24;1.75;0.25;0;1;0;5;15;40;15;0.75;0.1;375;0;0;0;0;120;
TORPEDO_B_FUSION_TORPEDO_6;50;-8;16;49;1.75;0.25;0;1;0;5;15;40;20;0.75;0.1;375;0;0;0;0;120;
TORPEDO_C_FUSION_TORPEDO_6;100;-23;30;100;1.75;0.25;0;1;0;5;15;40;30;0.75;0.1;375;0;0;0;0;120;
TORPEDO_A_PHOTON_TORPEDO_1;10;0;7;14;1;0.5;0;1.25;0;10;20;80;30;0.75;0.1;325;0;0;0;0;100;
TORPEDO_B_PHOTON_TORPEDO_1;10;0;14;28;1;0.5;0;1.25;0;10;20;80;40;0.75;0.1;325;0;0;0;0;100;
TORPEDO_C_PHOTON_TORPEDO_1;10;-2;28;55;1;0.5;0;1.25;0;10;20;80;50;0.75;0.1;325;0;0;0;0;100;
TORPEDO_D_PHOTON_TORPEDO_1;20;-4;55;111;1;0.5;0;1.25;0;10;20;80;50;0.75;0.1;325;0;0;0;0;100;
TORPEDO_E_PHOTON_TORPEDO_1;30;-10;110;220;1;0.5;0;1.25;0;10;20;80;60;0.75;0.1;325;0;0;0;0;100;
TORPEDO_A_PHOTON_TORPEDO_2;10;-1;11;22;1;0.5;0;1.25;0;10;20;80;30;0.8;0.2;325;0;0;0;0;100;
TORPEDO_B_PHOTON_TORPEDO_2;20;-3;22;45;1;0.5;0;1.25;0;10;20;80;40;0.8;0.2;325;0;0;0;0;100;
TORPEDO_C_PHOTON_TORPEDO_2;40;-8;44;89;1;0.5;0;1.25;0;10;20;80;50;0.8;0.2;325;0;0;0;0;100;
TORPEDO_D_PHOTON_TORPEDO_2;70;-18;90;180;1;0.5;0;1.25;0;10;20;80;50;0.8;0.2;325;0;0;0;0;100;
TORPEDO_E_PHOTON_TORPEDO_2;130;-48;180;350;1;0.5;0;1.25;0;10;20;80;60;0.8;0.2;325;0;0;0;0;100;
TORPEDO_A_PHOTON_TORPEDO_3;20;-2;10;19;1;0.5;0;1.25;0;10;15;60;20;0.85;0.5;350;0;0;0;0;110;
TORPEDO_B_PHOTON_TORPEDO_3;30;-6;19;39;1;0.5;0;1.25;0;10;15;60;30;0.85;0.5;350;0;0;0;0;110;
TORPEDO_C_PHOTON_TORPEDO_3;70;-15;39;78;1;0.5;0;1.25;0;10;15;60;40;0.85;0.5;350;0;0;0;0;110;
TORPEDO_D_PHOTON_TORPEDO_3;120;-35;80;150;1;0.5;0;1.25;0;10;15;60;40;0.85;0.5;350;0;0;0;0;110;
TORPEDO_E_PHOTON_TORPEDO_3;240;-88;160;310;1;0.5;0;1.25;0;10;15;60;50;0.85;0.5;350;0;0;0;0;110;
TORPEDO_A_PHOTON_TORPEDO_4;20;-3;11;22;1;0.5;0;1.25;0;10;15;60;20;0.85;0.5;350;0;0;0;0;110;
TORPEDO_B_PHOTON_TORPEDO_4;40;-7;22;44;1;0.5;0;1.25;0;10;15;60;30;0.85;0.5;350;0;0;0;0;110;
TORPEDO_C_PHOTON_TORPEDO_4;80;-19;44;88;1;0.5;0;1.25;0;10;15;60;40;0.85;0.5;350;0;0;0;0;110;
TORPEDO_D_PHOTON_TORPEDO_4;150;-44;90;170;1;0.5;0;1.25;0;10;15;60;40;0.85;0.5;350;0;0;0;0;110;
TORPEDO_E_PHOTON_TORPEDO_4;300;-110;180;350;1;0.5;0;1.25;0;10;15;60;50;0.85;0.5;350;0;0;0;0;110;
TORPEDO_A_PHOTON_TORPEDO_5;30;-3;12;25;1;0.5;0;1.25;0;10;15;60;20;0.85;0.5;350;0;0;0;0;110;
TORPEDO_B_PHOTON_TORPEDO_5;50;-8;25;49;1;0.5;0;1.25;0;10;15;60;30;0.85;0.5;350;0;0;0;0;110;
TORPEDO_C_PHOTON_TORPEDO_5;100;-23;50;100;1;0.5;0;1.25;0;10;15;60;40;0.85;0.5;350;0;0;0;0;110;
TORPEDO_D_PHOTON_TORPEDO_5;180;-53;100;190;1;0.5;0;1.25;0;10;15;60;40;0.85;0.5;350;0;0;0;0;110;
TORPEDO_E_PHOTON_TORPEDO_5;350;-132;200;390;1;0.5;0;1.25;0;10;15;60;50;0.85;0.5;350;0;0;0;0;110;
TORPEDO_A_PHOTON_TORPEDO_6;30;-4;14;27;1;0.5;0;1.25;0;10;15;60;20;0.85;0.5;350;0;0;0;0;110;
TORPEDO_B_PHOTON_TORPEDO_6;60;-10;27;54;1;0.5;0;1.25;0;10;15;60;30;0.85;0.5;350;0;0;0;0;110;
TORPEDO_C_PHOTON_TORPEDO_6;110;-26;50;110;1;0.5;0;1.25;0;10;15;60;40;0.85;0.5;350;0;0;0;0;110;
TORPEDO_D_PHOTON_TORPEDO_6;210;-61;110;210;1;0.5;0;1.25;0;10;15;60;40;0.85;0.5;350;0;0;0;0;110;
TORPEDO_E_PHOTON_TORPEDO_6;410;-154;220;430;1;0.5;0;1.25;0;10;15;60;50;0.85;0.5;350;0;0;0;0;110;
TORPEDO_A_PHOTON_TORPEDO_7a;40;-5;10;19;1;0.5;0;1.25;0;5;15;40;20;0.85;0.7;375;0;0;0;0;120;
TORPEDO_B_PHOTON_TORPEDO_7a;70;-13;20;39;1;0.5;0;1.25;0;5;15;40;30;0.85;0.7;375;0;0;0;0;120;
TORPEDO_A_PHOTON_TORPEDO_8a;40;-6;12;23;1;0.5;0;1.25;0;5;15;40;20;0.85;0.7;375;0;0;0;0;120;
TORPEDO_B_PHOTON_TORPEDO_8a;90;-16;23;46;1;0.5;0;1.25;0;5;15;40;30;0.85;0.7;375;0;0;0;0;120;
TORPEDO_C_PHOTON_TORPEDO_7b;120;-27;120;250;1.5;0.5;0;1.25;0;15;25;120;30;0.75;0.1;300;0;0;0;0;90;
TORPEDO_D_PHOTON_TORPEDO_7b;210;-63;250;490;1.5;0.5;0;1.25;0;15;25;120;30;0.75;0.1;300;0;0;0;0;90;
TORPEDO_E_PHOTON_TORPEDO_7b;510;-192;500;990;1.75;0.5;0;1.25;0;15;25;120;40;0.75;0.1;300;0;0;0;0;90;
TORPEDO_C_PHOTON_TORPEDO_8b;170;-41;140;290;1.75;0.5;0;1.25;0;15;25;120;30;0.75;0.1;300;0;0;0;0;90;
TORPEDO_D_PHOTON_TORPEDO_8b;380;-114;290;570;2;0.5;0;1.25;0;15;25;120;30;0.75;0.1;300;0;0;0;0;90;
TORPEDO_E_PHOTON_TORPEDO_8b;740;-280;570;1150;2;0.5;0;1.25;0;15;25;120;40;0.75;0.1;300;0;0;0;0;90;
TORPEDO_C_PHOTON_TORPEDO_deep;140;-32;130;270;1;0.5;0;1.25;0;20;30;160;110;0.85;0.3;275;0;0;0;0;80;
TORPEDO_D_PHOTON_TORPEDO_deep;250;-74;270;530;1;0.5;0;1.25;0;20;30;160;110;0.85;0.3;275;0;0;0;0;80;
TORPEDO_E_PHOTON_TORPEDO_deep;480;-180;540;1070;1;0.5;0;1.25;0;20;30;160;120;0.85;0.3;275;0;0;0;0;80;
TORPEDO_A_RESONANCE_TORPEDO_1;10;0;8;25;1;0.5;0;1;0;10;20;80;30;0.8;0.2;325;0;0;0;0;100;
TORPEDO_B_RESONANCE_TORPEDO_1;10;-1;17;50;1;0.5;0;1;0;10;20;80;40;0.8;0.2;325;0;0;0;0;100;
TORPEDO_C_RESONANCE_TORPEDO_1;20;-3;33;100;1;0.5;0;1;0;10;20;80;50;0.8;0.2;325;0;0;0;0;100;
TORPEDO_D_RESONANCE_TORPEDO_1;30;-8;70;200;1;0.5;0;1;0;10;20;80;50;0.8;0.2;325;0;0;0;0;100;
TORPEDO_E_RESONANCE_TORPEDO_1;60;-20;130;400;1;0.5;0;1;0;10;20;80;60;0.8;0.2;325;0;0;0;0;100;
TORPEDO_A_RESONANCE_TORPEDO_2;20;-2;12;35;1;0.5;0;1;0;10;20;80;30;0.8;0.2;325;0;0;0;0;100;
TORPEDO_B_RESONANCE_TORPEDO_2;30;-4;23;70;1;0.5;0;1;0;10;20;80;40;0.8;0.2;325;0;0;0;0;100;
TORPEDO_C_RESONANCE_TORPEDO_2;50;-11;47;139;1;0.5;0;1;0;10;20;80;50;0.8;0.2;325;0;0;0;0;100;
TORPEDO_D_RESONANCE_TORPEDO_2;90;-26;90;280;1;0.5;0;1;0;10;20;80;50;0.8;0.2;325;0;0;0;0;100;
TORPEDO_E_RESONANCE_TORPEDO_2;180;-66;190;550;1;0.5;0;1;0;10;20;80;60;0.8;0.2;325;0;0;0;0;100;
TORPEDO_A_RESONANCE_TORPEDO_3;20;-2;13;39;1;0.5;0;1;0;10;20;80;30;0.8;0.2;325;0;0;0;0;100;
TORPEDO_B_RESONANCE_TORPEDO_3;30;-6;26;77;1;0.5;0;1;0;10;20;80;40;0.8;0.2;325;0;0;0;0;100;
TORPEDO_C_RESONANCE_TORPEDO_3;70;-15;50;160;1;0.5;0;1;0;10;20;80;50;0.8;0.2;325;0;0;0;0;100;
TORPEDO_D_RESONANCE_TORPEDO_3;120;-35;100;310;1;0.5;0;1;0;10;20;80;50;0.8;0.2;325;0;0;0;0;100;
TORPEDO_E_RESONANCE_TORPEDO_3;240;-88;210;610;1;0.5;0;1;0;10;20;80;60;0.8;0.2;325;0;0;0;0;100;
TORPEDO_A_RESONANCE_TORPEDO_4;30;-3;15;47;1;0.5;0;1;0;10;20;80;30;0.8;0.2;325;0;0;0;0;100;
TORPEDO_B_RESONANCE_TORPEDO_4;50;-8;31;92;1;0.5;0;1;0;10;20;80;40;0.8;0.2;325;0;0;0;0;100;
TORPEDO_C_RESONANCE_TORPEDO_4;100;-23;60;190;1;0.5;0;1;0;10;20;80;50;0.8;0.2;325;0;0;0;0;100;
TORPEDO_D_RESONANCE_TORPEDO_4;180;-53;120;370;1;0.5;0;1;0;10;20;80;50;0.8;0.2;325;0;0;0;0;100;
TORPEDO_E_RESONANCE_TORPEDO_4;350;-132;250;730;1;0.5;0;1;0;10;20;80;60;0.8;0.2;325;0;0;0;0;100;
TORPEDO_A_QUANTUM_TORPEDO_5a;30;-4;20;58;1.25;0.75;0;1;0.5;15;25;120;20;0.8;0.2;300;0;0;0;0;90;
TORPEDO_B_QUANTUM_TORPEDO_5a;60;-11;39;118;1.25;0.75;0;1;0.5;15;25;120;30;0.8;0.2;300;0;0;0;0;90;
TORPEDO_C_QUANTUM_TORPEDO_5a;130;-30;80;230;1.25;0.75;0;1;0.5;15;25;120;40;0.8;0.2;300;0;0;0;0;90;
TORPEDO_D_QUANTUM_TORPEDO_5a;230;-70;160;470;1.25;0.75;0;1;0.5;15;25;120;40;0.8;0.2;300;0;0;0;0;90;
TORPEDO_E_QUANTUM_TORPEDO_5a;470;-176;310;940;1.25;0.75;0;1;0.5;15;25;120;50;0.8;0.2;300;0;0;0;0;90;
TORPEDO_A_QUANTUM_TORPEDO_6a;40;-5;20;58;1.25;0.75;0;1;0.75;15;25;120;20;0.8;0.2;300;0;0;0;0;90;
TORPEDO_B_QUANTUM_TORPEDO_6a;100;-17;47;139;1.25;0.75;0;1;0.75;15;25;120;30;0.8;0.2;300;0;0;0;0;90;
TORPEDO_C_QUANTUM_TORPEDO_6a;190;-45;90;280;1.25;0.75;0;1;0.75;15;25;120;40;0.8;0.2;300;0;0;0;0;90;
TORPEDO_D_QUANTUM_TORPEDO_6a;350;-105;190;550;1.25;0.75;0;1;0.75;15;25;120;40;0.8;0.2;300;0;0;0;0;90;
TORPEDO_E_QUANTUM_TORPEDO_6a;690;-260;370;1120;1.25;0.75;0;1;0.75;15;25;120;50;0.8;0.2;300;0;0;0;0;90;
TORPEDO_A_QUANTUM_TORPEDO_5b;30;-4;20;58;1.25;0.75;0.5;1;0;15;25;120;20;0.8;0.2;300;0;0;0;0;90;
TORPEDO_B_QUANTUM_TORPEDO_5b;60;-11;39;118;1.25;0.75;0.5;1;0;15;25;120;30;0.8;0.2;300;0;0;0;0;90;
TORPEDO_C_QUANTUM_TORPEDO_5b;130;-30;80;230;1.25;0.75;0.5;1;0;15;25;120;40;0.8;0.2;300;0;0;0;0;90;
TORPEDO_D_QUANTUM_TORPEDO_5b;230;-70;160;470;1.25;0.75;0.5;1;0;15;25;120;40;0.8;0.2;300;0;0;0;0;90;
TORPEDO_E_QUANTUM_TORPEDO_5b;470;-176;310;940;1.25;0.75;0.5;1;0;15;25;120;50;0.8;0.2;300;0;0;0;0;90;
TORPEDO_A_QUANTUM_TORPEDO_6b;50;-6;23;70;1.25;0.75;0.75;1;0;15;25;120;20;0.8;0.2;300;0;0;0;0;90;
TORPEDO_B_QUANTUM_TORPEDO_6b;100;-17;47;139;1.25;0.75;0.75;1;0;15;25;120;30;0.8;0.2;300;0;0;0;0;90;
TORPEDO_C_QUANTUM_TORPEDO_6b;190;-45;90;280;1.25;0.75;0.75;1;0;15;25;120;40;0.8;0.2;300;0;0;0;0;90;
TORPEDO_D_QUANTUM_TORPEDO_6b;350;-105;190;550;1.25;0.75;0.75;1;0;15;25;120;40;0.8;0.2;300;0;0;0;0;90;
TORPEDO_E_QUANTUM_TORPEDO_6b;690;-260;370;1120;1.25;0.75;0.75;1;0;15;25;120;50;0.8;0.2;300;0;0;0;0;90;
TORPEDO_A_POLARON_TORPEDO_1;10;0;11;14;0.5;1.25;0;0.75;0;10;15;60;30;0.8;0.2;350;0;0;0;0;110;
TORPEDO_B_POLARON_TORPEDO_1;10;-1;21;30;0.5;1.25;0;0.75;0;10;15;60;40;0.8;0.2;350;0;0;0;0;110;
TORPEDO_C_POLARON_TORPEDO_1;20;-3;42;60;0.5;1.25;0;0.75;0;10;15;60;50;0.8;0.2;350;0;0;0;0;110;
TORPEDO_D_POLARON_TORPEDO_1;30;-8;80;120;0.5;1.25;0;0.75;0;10;15;60;50;0.8;0.2;350;0;0;0;0;110;
TORPEDO_E_POLARON_TORPEDO_1;60;-20;170;240;0.5;1.25;0;0.75;0;10;15;60;60;0.8;0.2;350;0;0;0;0;110;
TORPEDO_A_POLARON_TORPEDO_2;10;-1;14;19;0.5;1.25;0;0.75;0;10;15;60;30;0.8;0.2;350;0;0;0;0;110;
TORPEDO_B_POLARON_TORPEDO_2;20;-4;27;39;0.5;1.25;0;0.75;0;10;15;60;40;0.8;0.2;350;0;0;0;0;110;
TORPEDO_C_POLARON_TORPEDO_2;50;-10;55;77;0.5;1.25;0;0.75;0;10;15;60;50;0.8;0.2;350;0;0;0;0;110;
TORPEDO_D_POLARON_TORPEDO_2;80;-24;110;150;0.5;1.25;0;0.75;0;10;15;60;50;0.8;0.2;350;0;0;0;0;110;
TORPEDO_E_POLARON_TORPEDO_2;160;-60;220;310;0.5;1.25;0;0.75;0;10;15;60;60;0.8;0.2;350;0;0;0;0;110;
TORPEDO_A_POLARON_TORPEDO_3;20;-2;15;22;0.5;1.25;0;0.75;0;10;15;60;30;0.8;0.2;350;0;0;0;0;110;
TORPEDO_B_POLARON_TORPEDO_3;30;-5;31;43;0.5;1.25;0;0.75;0;10;15;60;40;0.8;0.2;350;0;0;0;0;110;
TORPEDO_C_POLARON_TORPEDO_3;60;-14;60;90;0.5;1.25;0;0.75;0;10;15;60;50;0.8;0.2;350;0;0;0;0;110;
TORPEDO_D_POLARON_TORPEDO_3;110;-32;120;170;0.5;1.25;0;0.75;0;10;15;60;50;0.8;0.2;350;0;0;0;0;110;
TORPEDO_E_POLARON_TORPEDO_3;220;-80;250;340;0.5;1.25;0;0.75;0;10;15;60;60;0.8;0.2;350;0;0;0;0;110;
TORPEDO_A_POLARON_TORPEDO_4;20;-3;19;25;0.5;1.25;0;0.75;0;10;15;60;30;0.8;0.2;350;0;0;0;0;110;
TORPEDO_B_POLARON_TORPEDO_4;40;-8;37;52;0.5;1.25;0;0.75;0;10;15;60;40;0.8;0.2;350;0;0;0;0;110;
TORPEDO_C_POLARON_TORPEDO_4;90;-20;70;110;0.5;1.25;0;0.75;0;10;15;60;50;0.8;0.2;350;0;0;0;0;110;
TORPEDO_D_POLARON_TORPEDO_4;160;-47;150;210;0.5;1.25;0;0.75;0;10;15;60;50;0.8;0.2;350;0;0;0;0;110;
TORPEDO_E_POLARON_TORPEDO_4;320;-120;300;410;0.5;1.25;0;0.75;0;10;15;60;60;0.8;0.2;350;0;0;0;0;110;
TORPEDO_A_POLARON_TORPEDO_5a;30;-4;14;19;0.75;1;0;0.75;0;5;15;40;20;0.85;0.5;375;0;0;0;0;120;
TORPEDO_B_POLARON_TORPEDO_5a;60;-11;28;39;0.75;1;0;0.75;0;5;15;40;30;0.85;0.5;375;0;0;0;0;120;
TORPEDO_A_POLARON_TORPEDO_6a;40;-5;16;23;0.75;1;0;0.75;0;5;15;40;20;0.85;0.5;375;0;0;0;0;120;
TORPEDO_B_POLARON_TORPEDO_6a;80;-14;32;45;0.75;1;0;0.75;0;5;15;40;30;0.85;0.5;375;0;0;0;0;120;
TORPEDO_C_POLARON_TORPEDO_5b;140;-33;110;160;0.5;1.5;0;0.75;0;10;20;80;50;0.8;0.2;325;0;0;0;0;100;
TORPEDO_D_POLARON_TORPEDO_5b;260;-77;230;320;0.5;1.5;0;0.75;0;10;20;80;50;0.8;0.2;325;0;0;0;0;100;
TORPEDO_E_POLARON_TORPEDO_5b;510;-192;450;640;0.5;1.5;0;0.75;0;10;20;80;60;0.8;0.2;325;0;0;0;0;100;
TORPEDO_C_POLARON_TORPEDO_6b;210;-49;120;170;0.5;2;0;0.75;0;10;20;80;50;0.8;0.2;325;0;0;0;0;100;
TORPEDO_D_POLARON_TORPEDO_6b;380;-114;240;350;0.5;2;0;0.75;0;10;20;80;50;0.8;0.2;325;0;0;0;0;100;
TORPEDO_E_POLARON_TORPEDO_6b;740;-280;490;680;0.5;2;0;0.75;0;10;20;80;60;0.8;0.2;325;0;0;0;0;100;
TORPEDO_A_PLASMA_TORPEDO_1;10;-1;21;63;2;0.25;0;0.75;0;20;30;160;15;0.75;0.1;275;0;0;0;0;80;
TORPEDO_B_PLASMA_TORPEDO_1;20;-4;42;126;2;0.25;0;0.75;0;20;30;160;20;0.75;0.1;275;0;0;0;0;80;
TORPEDO_C_PLASMA_TORPEDO_1;50;-10;84;253;2;0.25;0;0.75;0;20;30;160;30;0.75;0.1;275;0;0;0;0;80;
TORPEDO_D_PLASMA_TORPEDO_1;80;-24;170;500;2;0.25;0;0.75;0;20;30;160;30;0.75;0.1;275;0;0;0;0;80;
